Year/Course,Term,Unit,Block,Small Step,DF Topic Refs,DF Topic Names (review)
Year 7,Autumn,Algebraic Thinking,Sequences,Describe and continue a sequence given diagrammatically,135;203,"Introduction to sequences | Describing, generating and continuing sequences using term-to-term rules"
Year 7,Autumn,Algebraic Thinking,Sequences,Predict and check the next term(s) of a sequence,203,"Describing, generating and continuing sequences using term-to-term rules"
Year 7,Autumn,Algebraic Thinking,Sequences,Represent sequences in tabular and graphical forms,,
Year 7,Autumn,Algebraic Thinking,Sequences,Recognise the difference between linear and non-linear sequences,202,Distinguishing between different types of sequences
Year 7,Autumn,Algebraic Thinking,Sequences,Continue numerical linear sequences,203,"Describing, generating and continuing sequences using term-to-term rules"
Year 7,Autumn,Algebraic Thinking,Sequences,Continue numerical non-linear sequences,203,"Describing, generating and continuing sequences using term-to-term rules"
Year 7,Autumn,Algebraic Thinking,Sequences,Explain the term-to-term rule of numerical sequences in words,203,"Describing, generating and continuing sequences using term-to-term rules"
Year 7,Autumn,Algebraic Thinking,Sequences,Find missing numbers within sequences,203,"Describing, generating and continuing sequences using term-to-term rules"
Year 7,Autumn,Algebraic Thinking,Understand and use notation,"Given a numerical input, find the output of a single function machine",133,Function machines
Year 7,Autumn,Algebraic Thinking,Understand and use notation,Use inverse operations to find the input given the output,133,Function machines
Year 7,Autumn,Algebraic Thinking,Understand and use notation,Use diagrams and letters to generalise number operations,198;134,Forming linear algebraic expressions and formulae from a given context | Algebraic thinking
Year 7,Autumn,Algebraic Thinking,Understand and use notation,Use diagrams and letters with single function machines,133,Function machines
Year 7,Autumn,Algebraic Thinking,Understand and use notation,Find the function machine given a simple expression,195,"Function machines involving decimals, negative numbers and algebraic inputs"
Year 7,Autumn,Algebraic Thinking,Understand and use notation,Substitute values into single operation expressions,136,"Basic substitution with positive integers (limited to addition, subtraction, division and multiplication)"
Year 7,Autumn,Algebraic Thinking,Understand and use notation,Find numerical inputs and outputs for a series of two function machines,133,Function machines
Year 7,Autumn,Algebraic Thinking,Understand and use notation,Use diagrams and letters with a series of two function machines,195,"Function machines involving decimals, negative numbers and algebraic inputs"
Year 7,Autumn,Algebraic Thinking,Understand and use notation,Find the function machines given a two-step expression,195,"Function machines involving decimals, negative numbers and algebraic inputs"
Year 7,Autumn,Algebraic Thinking,Understand and use notation,Substitute values into two-step expressions,136,"Basic substitution with positive integers (limited to addition, subtraction, division and multiplication)"
Year 7,Autumn,Algebraic Thinking,Understand and use notation,Generate sequences given an algebraic rule,204,Generating terms of a sequence given a position-to-term rule
Year 7,Autumn,Algebraic Thinking,Understand and use notation,Represent one- and two-step functions graphically,,
Year 7,Autumn,Algebraic Thinking,Equality and Equivalence,Understand the meaning of equality,,
Year 7,Autumn,Algebraic Thinking,Equality and Equivalence,"Understand and use fact families, numerically and algebraically",199,Solving linear equations where the variable appears on one side of the equation only
Year 7,Autumn,Algebraic Thinking,Equality and Equivalence,Solve one-step linear equations involving +/- using inverse operations,199,Solving linear equations where the variable appears on one side of the equation only
Year 7,Autumn,Algebraic Thinking,Equality and Equivalence,Solve one-step linear equations involving x/div using inverse operations,199,Solving linear equations where the variable appears on one side of the equation only
