DF Topic #,DF Topic Name
14,Reading integer values off a scale
15,"Measuring using scales of lengths, mass and capacity"
37,"Rounding a number to nearest 10, 100, 1000 and beyond"
39,Mental addition and subtraction strategies
40,Column addition
41,Column subtraction
48,Related number facts with place value
52,Multiples of a number
53,Factors of a number
54,Recognising and using fractions with denominators to 12
56,Adding and subtracting fractions with the same denominator
57,Fractions of an amount
59,Time conversions
65,Bar charts and vertical line charts
66,Short column multiplication
67,Long column multiplication
68,"Recognising and using tenths, hundredths and thousandths"
69,"Decimal place value, including basic fraction and decimal equivalence"
70,"Multiplying and dividing by 10, 100, 1000, including decimals"
71,Compare decimals
72,Number bonds with decimals
73,"Making up monetary values with coins and notes, with decimal notation (GBP/Euro/Dollars)"
74,Adding and subtracting decimal numbers
75,Rounding a number to a given number of decimal places
76,Types of angle
77,Types of quadrilaterals and triangles
78,Properties of polygons
79,Perimeter of a 2D shape by adding lengths
83,Coordinates in the first quadrant
85,Counting up and down with negative numbers
86,Comparing and ordering positive and negative numbers
87,Using negative numbers in context
88,"Power notation and calculate simple powers, e.g. squares, cubes"
89,Completing short divisions with no remainders
90,Completing long divisions with no remainders
91,Completing divisions with remainders as integers
92,Completing divisions with remainders as fractions and decimals
93,Halfway between two numbers
94,Common multiples by listing
95,Common factors by listing
96,Highest Common Factor and Lowest Common Multiple by listing
97,Prime numbers
98,Fractional equivalence using factors and multiples
99,Comparing and ordering fractions where the denominators are multiples of each other
100,Adding and subtracting fractions where the denominators are multiples of each other
101,Converting between mixed numbers and improper fractions
102,Adding and subtracting mixed numbers with the same denominator
103,Adding and subtracting mixed numbers where one denominator is a multiple of another
104,"Fraction and decimal equivalence for halves, quarters and fifths"
105,Understanding percentages as values out of 100
106,Basic percentage and decimal equivalence
107,Converting between metric units of measure
108,"Equivalence of metric and imperial units (inches, pints, pounds and miles)"
110,Sum of the angles on a straight line and angles around a point
113,Reading and using timetables and distance charts
115,Order of operations (no powers and roots)
116,Comparing and ordering fractions with different denominators.
117,Adding and subtracting fractions with any denominator
118,Adding and subtracting mixed numbers with different denominators
119,Multiplying fractions and mixed numbers by an integer
120,Multiplying proper fractions with no simplifying
121,Dividing fractions by integers
122,Multiplying a decimal (up to 2dp) by an integer
123,Multiplying decimal numbers
124,Dividing a decimal (up to 2dp) by an integer
125,Dividing by decimal numbers
127,Calculating with money in decimal notation (GBP/EUR/USD)
128,Multiplicative scaling with integer scale factors and ratio notation
129,Similar shapes with integer scale factors
130,"Calculating a simple percentage of an amount, using chunking"
131,Pie charts with simple fractions and percentages
132,Mean as an average
133,Function machines
134,Algebraic thinking
135,Introduction to sequences
136,"Basic substitution with positive integers (limited to addition, subtraction, division and multiplication)"
138,Area of a rectangle by using the formula
139,Area of a parallelogram
140,Area of a triangle
141,Basic terms in relation to circles
142,Properties of prisms and cylinders
143,Nets of 3D shapes
145,Volume of a cube or cuboid
146,Platonic solids
147,Vertically opposite angles
148,Properties of triangle lengths
149,Sum of angles in a triangle
150,Base angles of an isosceles triangle
151,Sum of angles in a quadrilateral
152,Coordinates in all four quadrants
153,Reflecting a shape on axes using a given mirror line
154,Translating a shape on axes using directional language
155,Adding or subtracting a mixture of positive and negative numbers
156,Multiplying or dividing a mixture of positive and negative numbers
157,Roots and further powers
158,Numerical index laws (basic)
159,Reciprocals
160,Using a scientific calculator
161,Prime factorisation of a number
162,Lowest Common Multiple or Highest Common Factor by prime factorisation
163,Divisibility laws from 3 to 11 and dealing with larger divisors
164,"Properties of a number based on its prime factorisation (e.g. identify factors, if it is square, trailing zeroes)"
165,Further multiplying proper fractions (including simplification)
166,Dividing proper and improper fractions
167,Multiplying fractions involving a mixed number
168,Dividing fractions involving a mixed number
169,Fractional increase and decrease
170,Fractional original value problems
171,Problem solving involving a fraction of an amount
172,"Converting between any terminating decimal, fraction and percentage less than 100%"
173,Converting from a fraction to a recurring decimal or a percentage
174,"Converting between terminating decimals, fractions and percentages greater than 100%"
175,"Comparing and ordering fractions, decimal and percentages"
176,Multiplicative scaling and numerical proportion relationships
177,Exchange rates
178,Conversion graphs
179,Geometric notation for shapes and lines
180,Perimeter of rectilinear shapes
181,Area of composite rectilinear shapes
182,Area of composite shapes using rectangles and triangles
183,Area of kites
184,Area of trapeziums
185,Related shape problems
186,Estimating measures in context
187,Rounding a number to a given number of significant figures
188,Estimating by rounding
189,Rounding errors (round-off errors)
190,Algebraic terminology
191,Multiplying single algebraic terms (no index laws)
192,Dividing single algebraic terms (no index laws)
193,Collecting like terms
194,Algebraic index laws (basic)
195,"Function machines involving decimals, negative numbers and algebraic inputs"
196,"Further substitution with positive integers (including powers, roots and brackets)"
197,"Substitution with decimals, negative integers and fractions"
198,Forming linear algebraic expressions and formulae from a given context
199,Solving linear equations where the variable appears on one side of the equation only
200,Solving equations involving integer powers and their roots as inverses
201,"Changing the subject where the variable appears once only, excluding brackets"
202,Distinguishing between different types of sequences
203,"Describing, generating and continuing sequences using term-to-term rules"
204,Generating terms of a sequence given a position-to-term rule
205,nth term formula for arithmetic sequences (no standard formulae)
206,Determining if a term belongs in an arithmetic sequence
207,"Mode, median, range from listed data"
208,Combining means or dealing with changes to a mean
209,Circumference of a full circle
210,Area of a full circle
211,Area or perimeter of simple fractions of circles
212,Perimeter of compound shapes that includes curved edges
213,Area of composite shapes involving circles
214,Determining what percentage one number is of another
215,Percentage change
216,Percentage error and relative error
217,"Percentage of an amount, greater than 100%, by chunking"
218,"Percentage of an amount, by multiplying by an equivalent fraction"
219,"Percentage of an amount, using decimal multipliers"
220,"Value after a simple percentage change, using non-calculator methods"
221,"Value after a general percentage change, using decimal multipliers"
222,Reverse percentage problems using chunking
223,Reverse percentage problems using decimal multipliers
224,Simplifying ratios and forming ratios from a given context
225,"Finding a quantity within a ratio where either the total amount, a particular amount or a difference in an amount is given"
226,"Relationship between fractions, percentages and ratio"
227,Combining ratios and proportions into a single ratio
228,"Front elevation, side elevation and plan of a 3D shape"
230,Problem solving involving volume of a cuboid
231,Volume of a prism
232,Surface area of a cuboid and prisms
233,Volume of a cylinder
234,Surface area of a cylinder
235,Reading and interpreting ungrouped frequency tables
236,Mean from ungrouped frequency tables
237,"Median, mode and range from ungrouped frequency tables"
238,Two-way tables
240,Stem-and-leaf diagrams
241,Frequency trees
242,Construct Venn diagrams
243,"Union, intersection and complements of sets, including the universal and empty sets"
244,Scatter graphs/scatterplots and correlation
245,Line of best fit
246,Pie charts with any proportion
247,Probabilities using worded terms or placed on a number line between 0 and 1
248,Theoretical probabilities using counts
249,Sample space diagrams
250,Probabilities of mutually exclusive events
251,"Experimental probabilities, expectation and bias"
252,Expanding a single bracket
253,Factorising out a single term
