Q#,DF ref,DF ref #,Level,Calculator,Question (raw),Answer (raw),Wrong1 (raw),Wrong 2 (raw),Worked Answer (raw),Hint,Question (notated),Answer (notated),Wrong1 (notated),Wrong 2 (notated),Worked Answer (notated),Diagram Type,Diagram Params
478,180a,2,No,A 6cm by 4cm notch is cut from one corner. Find the perimeter.,48cm,34cm,56cm,The two missing sides are 9-4=5cm and 15-6=9cm. Add all six sides: 15+5+6+4+9+9=48cm.,"Work out each missing side by subtracting the notch dimensions from the overall width and height, then add all six sides together.",rectilinear_perimeter,kind=notch;width=15cm;height=9cm;notchW=6cm;notchH=4cm;showNotchDims=false,,,,,,
479,110a,110,2,No,Two angles are in the ratio 5:7. Find the smaller angle.,75°,105°,90°,5+7=12 parts. 180÷12=15° per part. Smaller = 5×15 = 75°.,Split 180° into the total number of ratio parts first.,,,,,,angle_sectors,total=180;sectors=75:5|105:7
480,110a,110,1,No,Find x.,108°,288°,72°,180 - 72 = 108°.,Angles on a straight line add up to 180°.,,,,,,angle_sectors,total=180;sectors=72:72°|108:x
481,110a,110,1,No,Find x.,65°,245°,115°,180 - 115 = 65°.,Angles on a straight line add up to 180°.,,,,,,angle_sectors,total=180;sectors=115:115°|65:x
482,110a,110,2,No,Find x.,60°,240°,95°,180 - 35 - 85 = 60°.,Angles on a straight line add up to 180° — subtract every given angle.,,,,,,angle_sectors,total=180;sectors=35:35°|85:85°|60:x
483,110a,110,3,No,Find the 3x angle.,75°,25°,90°,"6x+30=180, so x=25. 3x = 75°.","Solve for x first, then substitute it back into the angle you actually need.",,,,,,angle_sectors,total=180;sectors=75:3x|50:2x|55:x+30
484,110a,110,3,No,"Find x, where y = 2x + 15.",55°,125°,115°,"x+(2x+15)=180, so 3x=165, x=55.",Substitute the relationship into the straight-line equation first.,,,,,,angle_sectors,total=180;sectors=55:x|125:y
489,110a,110,3,No,Find x.,25°,60°,40°,"7x+5=180, so 7x=175, x=25.",Collect every x term and every constant before solving.,,,,,,angle_sectors,total=180;sectors=25:x|45:x+20|50:2x|60:3x-15
490,110b,110,2,No,Find x.,30°,15°,90°,"5x+4x+2x+x=12x=360, so x=30.",Angles around a point add up to 360° — collect the x terms first.,,,,,,angle_sectors,total=360;sectors=150:5x|120:4x|60:2x|30:x
491,110b,110,1,No,Find x.,80°,180°,280°,360 - 95 - 85 - 100 = 80°.,Angles around a point add up to 360° — subtract every given angle.,,,,,,angle_sectors,total=360;sectors=95:95°|85:85°|100:100°|80:x
492,110b,110,1,No,Find x.,135°,230°,225°,360 - 130 - 95 = 135°.,Angles around a point add up to 360°.,,,,,,angle_sectors,total=360;sectors=130:130°|95:95°|135:x
493,110b,110,1,No,Find x.,125°,235°,135°,360 - 235 = 125°.,Angles around a point add up to 360°.,,,,,,angle_sectors,total=360;sectors=235:235°|125:x
494,110b,110,3,No,Find x.,75°,125°,30°,"4x+60=360, so 4x=300, x=75.",Collect every x term and every constant before solving.,,,,,,angle_sectors,total=360;sectors=75:x|105:x+30|125:x+50|55:x-20
